timing_probe_id,timing_rank,base_probe_id,base_queue_rank,variant_side,variant_indicator_id,variant_lookback_bars,baseline_lookback_bars,anchor_type,anchor_id,trigger_id,probe_timeframe,pair_prior_score,pair_prior_bucket,baseline_status,baseline_composite_score,baseline_signal_count,baseline_best_expectancy_r,baseline_best_trades,baseline_best_profit_factor,profile_id,output_dir,status,primary_score,composite_score,score_delta,score_basis,signal_count,signal_count_delta,best_expectancy_r,expectancy_delta,best_trades,trade_delta,best_win_rate,best_profit_factor,profit_factor_delta,timing_bucket,error
l3b-001-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb2,1,l3-001-rsi-mean-reversion-channel-reentry-m5,1,trigger,CHANNEL_REENTRY,2,1,mean_reversion,RSI_MEAN_REVERSION,CHANNEL_REENTRY,M5,89.34,probe_now,skipped_existing,0.0,729.0,-0.0869,713,0.8826,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-001-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1442.0,713.0,-0.1047,-0.017799999999999996,1407,694.0,0.3318,0.8598,-0.022800000000000042,neutral,
l3b-002-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb3,2,l3-001-rsi-mean-reversion-channel-reentry-m5,1,trigger,CHANNEL_REENTRY,3,1,mean_reversion,RSI_MEAN_REVERSION,CHANNEL_REENTRY,M5,89.34,probe_now,skipped_existing,0.0,729.0,-0.0869,713,0.8826,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-002-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",2009.0,1280.0,-0.1056,-0.018699999999999994,1959,1246.0,0.3315,0.8583,-0.0243000000000001,neutral,
l3b-003-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb1,3,l3-002-toby-crabel-narrow-range-pmo-crossover-m5,2,trigger,PMO_CROSSOVER,1,2,compression,TOBY_CRABEL_NARROW_RANGE,PMO_CROSSOVER,M5,88.97,probe_now,skipped_existing,0.0,455.0,-0.1084,446,0.7151,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-003-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",267.0,-188.0,-0.0664,0.041999999999999996,254,-192.0,0.6764,0.9133,0.19820000000000004,neutral,
l3b-004-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb3,4,l3-002-toby-crabel-narrow-range-pmo-crossover-m5,2,trigger,PMO_CROSSOVER,3,2,compression,TOBY_CRABEL_NARROW_RANGE,PMO_CROSSOVER,M5,88.97,probe_now,skipped_existing,0.0,455.0,-0.1084,446,0.7151,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-004-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",653.0,198.0,-0.1252,-0.01680000000000001,639,193.0,0.6444,0.6836,-0.03149999999999997,neutral,
l3b-005-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb2,5,l3-003-bbands-position-mean-reversion-channel-reentry-m5,3,trigger,CHANNEL_REENTRY,2,1,mean_reversion,BBANDS_POSITION_MEAN_REVERSION,CHANNEL_REENTRY,M5,88.57,probe_now,skipped_existing,0.0,1236.0,-0.067,1207,0.8054,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-005-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",2146.0,910.0,-0.0703,-0.0032999999999999974,2093,886.0,0.5052,0.7974,-0.008000000000000007,neutral,
l3b-006-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb3,6,l3-003-bbands-position-mean-reversion-channel-reentry-m5,3,trigger,CHANNEL_REENTRY,3,1,mean_reversion,BBANDS_POSITION_MEAN_REVERSION,CHANNEL_REENTRY,M5,88.57,probe_now,skipped_existing,0.0,1236.0,-0.067,1207,0.8054,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-006-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",2775.0,1539.0,-0.0819,-0.014899999999999997,2712,1505.0,0.5025,0.7697,-0.035699999999999954,neutral,
l3b-007-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb1,7,l3-004-kalman-velocity-confirm-pmo-crossover-m5,4,trigger,PMO_CROSSOVER,1,2,trend,KALMAN_VELOCITY_CONFIRM,PMO_CROSSOVER,M5,88.27,probe_now,skipped_existing,0.0,115.0,-0.0751,109,0.9086,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-007-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",56.0,-59.0,-0.0406,0.0345,55,-54.0,0.3411,0.9633,0.05470000000000008,neutral,
l3b-008-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb3,8,l3-004-kalman-velocity-confirm-pmo-crossover-m5,4,trigger,PMO_CROSSOVER,3,2,trend,KALMAN_VELOCITY_CONFIRM,PMO_CROSSOVER,M5,88.27,probe_now,skipped_existing,0.0,115.0,-0.0751,109,0.9086,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-008-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",182.0,67.0,-0.1017,-0.0266,171,62.0,0.3398,0.8886,-0.020000000000000018,neutral,
l3b-009-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb1,9,l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5,5,trigger,TOBY_CRABEL_NARROW_RANGE,1,2,trend,KALMAN_VELOCITY_CONFIRM,TOBY_CRABEL_NARROW_RANGE,M5,87.82,probe_now,skipped_existing,0.0,688.0,-0.1555,685,0.645,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-009-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",439.0,-249.0,-0.1572,-0.001700000000000007,438,-247.0,0.6279,0.6373,-0.00770000000000004,neutral,
l3b-010-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb3,10,l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5,5,trigger,TOBY_CRABEL_NARROW_RANGE,3,2,trend,KALMAN_VELOCITY_CONFIRM,TOBY_CRABEL_NARROW_RANGE,M5,87.82,probe_now,skipped_existing,0.0,688.0,-0.1555,685,0.645,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-010-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",907.0,219.0,-0.1438,0.011699999999999988,896,211.0,0.6374,0.6559,0.01090000000000002,neutral,
