side,indicator_id,signal_role,strategy_role,namespace,tested_count,positive_count,strong_count,best_score,avg_positive_score,top_partners,top_partner_strategy_roles,top_timeframes,top_lanes
first,RSI_CROSSBACK,trigger,mean-reversion,Signals,172,27,7,78.3601,63.2859,"TOBY_CRABEL_NARROW_RANGE,WILLR_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_FILTER,CANDLE_DIRECTION_INDEX,STOCHF_TREND,OBV_TREND,TRENDFLEX_CONFIRM,PMO_CROSSOVER","confirm,mean-reversion,trend,filter,unknown","M5,M15",proven_neighbor
first,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,Signals,164,27,10,78.3601,65.2789,"RSI_CROSSBACK,CHANNEL_REENTRY,ULTOSC_MEAN_REVERSION,RSI_MEAN_REVERSION,WEIS_WAVE_FORCE_MEAN_REVERSION,STOCH_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,WAVETREND_CROSSOVER","mean-reversion,confirm,unknown,trend","M15,M5",proven_neighbor
first,CHANNEL_REENTRY,trigger,mean-reversion,Signals,172,23,9,76.8543,64.518,"MACD_CROSSOVER,THRUST_BAR_SIGNAL,TOBY_CRABEL_NARROW_RANGE,WAVETREND_CROSSOVER,MARKET_MODE_TRANSITION,OBV_TREND,NVO_VOLUME_IMPULSE,CANDLE_DIRECTION_INDEX","confirm,trend,unknown,mean-reversion,breakout,filter","M5,M15","wild_diversity,proven_neighbor"
first,MACD_CROSSOVER,trigger,,Signals,172,18,3,76.8543,62.7293,"CHANNEL_REENTRY,CMO_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,ROOFING_FILTER_CONFIRM,RSI_CROSSBACK,MFI_MEAN_REVERSION,OBV_MEAN_REVERSION","mean-reversion,confirm","M15,M5","wild_diversity,proven_neighbor"
first,CMO_MEAN_REVERSION,setup,mean-reversion,Momentum,172,30,6,76.6993,63.3476,"STOCHF_TREND,CANDLE_DIRECTION_INDEX,MACD_CROSSOVER,PMO_CROSSOVER,ATR_STEP_TREND_FILTER,WEIS_WAVE_FORCE_TREND,KST_CROSSOVER,STOCH_TREND","trend,confirm,filter,unknown,breakout","M5,M15","plausible_novel,wild_diversity,proven_neighbor"
first,STOCHF_TREND,setup,trend,Momentum,172,10,5,76.6993,66.2329,"CMO_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,RSI_CROSSBACK,MFI_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,MOM_MEAN_REVERSION,CHANNEL_REENTRY",mean-reversion,"M15,M5","plausible_novel,wild_diversity,proven_neighbor"
first,VQI_DIRECTIONAL_QUALITY,filter,filter,Volatility,172,2,1,76.5771,68.7179,"WILLR_MEAN_REVERSION,RSI_MEAN_REVERSION",mean-reversion,"M5,M15","plausible_novel,proven_neighbor"
first,WILLR_MEAN_REVERSION,setup,mean-reversion,Momentum,172,22,5,76.5771,63.4932,"VQI_DIRECTIONAL_QUALITY,RSI_CROSSBACK,PMO_CROSSOVER,KST_CROSSOVER,OBV_TREND,CHAIKIN_AD_TREND,SAR_TREND,TRENDFLEX_CONFIRM","confirm,trend,filter,mean-reversion","M15,M5","wild_diversity,plausible_novel,proven_neighbor"
first,BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,Signals,172,12,5,76.2815,66.2444,"OBV_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,MA_SPREAD_MEAN_REVERSION,SAR_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,ROOFING_FILTER_MEAN_REVERSION,MA_CROSSOVER,MOM_MEAN_REVERSION","mean-reversion,unknown","M15,M5","wild_diversity,under_tested_role_correct"
first,OBV_MEAN_REVERSION,context,mean-reversion,Volume,172,16,2,76.2815,62.736,"BOLLINGER_KELTNER_SQUEEZE_RELEASE,PLUS_DI_TREND,THRUST_BAR_SIGNAL,WEIS_WAVE_FORCE_TREND,NVO_VOLUME_IMPULSE,BREAKOUT_FIRST_CLOSE,MFI_TREND,DONCHIAN_CHANNEL_BREAKOUT","breakout,trend,confirm,filter","M15,M5","plausible_novel,wild_diversity"
first,THRUST_BAR_SIGNAL,trigger,confirm,Signals,172,19,3,75.8283,60.0951,"CHANNEL_REENTRY,MFI_MEAN_REVERSION,AROON_MEAN_REVERSION,SAR_MEAN_REVERSION,ROLLING_VOLUME_PROFILE_CONTEXT,MA_DISTANCE_MEAN_REVERSION,CCI_MEAN_REVERSION,MARKET_MODE_TRANSITION","mean-reversion,confirm,filter,trend","M5,M15","wild_diversity,proven_neighbor"
first,MARKET_MODE_TRANSITION,trigger,confirm,Signals,172,22,10,75.5434,66.7295,"MA_SPREAD_MEAN_REVERSION,WEIS_WAVE_FORCE_TREND,CHANNEL_REENTRY,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,STOCH_MEAN_REVERSION,ULTOSC_MEAN_REVERSION,BUFFERED_RANGE_BREAKOUT_SIGNAL,STOCHF_MEAN_REVERSION","mean-reversion,trend,breakout,confirm,unknown","M15,M5",wild_diversity
first,WAVETREND_CROSSOVER,trigger,confirm,Signals,172,28,6,75.2125,63.1739,"CHANNEL_REENTRY,STOCHF_MEAN_REVERSION,RSI_MEAN_REVERSION,TOBY_CRABEL_NARROW_RANGE,NVO_VOLUME_IMPULSE,STOCH_MEAN_REVERSION,STOCHRSI_MEAN_REVERSION,KELTNER_CHANNEL_BREAKOUT","mean-reversion,confirm,trend,breakout,filter","M15,M5","wild_diversity,proven_neighbor,under_tested_role_correct"
first,WEIS_WAVE_FORCE_TREND,context,trend,Volume,172,24,2,75.147,61.7,"MARKET_MODE_TRANSITION,PLUS_DI_MEAN_REVERSION,CMO_MEAN_REVERSION,STOCHRSI_MEAN_REVERSION,CCI_MEAN_REVERSION,MOM_MEAN_REVERSION,ADOSC_MEAN_REVERSION,STOCHRSI_CROSSBACK","mean-reversion,confirm,filter","M15,M5","plausible_novel,wild_diversity,proven_neighbor"
first,PLUS_DI_MEAN_REVERSION,context,mean-reversion,Trend,172,27,6,74.8644,62.5327,"MARKET_MODE_TRANSITION,WEIS_WAVE_FORCE_TREND,PRICE_RECLAIM_MA,PMO_CROSSOVER,TRENDFLEX_CONFIRM,KALMAN_VELOCITY_CONFIRM,NVO_VOLUME_IMPULSE,ROLLING_VOLUME_PROFILE_CONTEXT","confirm,trend,filter,mean-reversion,breakout,unknown","M15,M5","plausible_novel,wild_diversity,proven_neighbor"
first,MFI_MEAN_REVERSION,setup,mean-reversion,Volume,172,26,5,74.7918,61.3307,"NVO_VOLUME_IMPULSE,PMO_CROSSOVER,THRUST_BAR_SIGNAL,STOCHF_TREND,STOCH_TREND,WILLR_TREND,SPEARMAN_RANK_CORRELATION,KEY_REVERSAL_SIGNAL","confirm,trend,unknown,breakout,filter","M15,M5","plausible_novel,proven_neighbor,wild_diversity"
first,NVO_VOLUME_IMPULSE,trigger,confirm,Volume,172,22,3,74.7918,62.5466,"MFI_MEAN_REVERSION,CHANNEL_REENTRY,WAVETREND_CROSSOVER,PLUS_DI_MEAN_REVERSION,MINUS_DI_TREND,CMO_MEAN_REVERSION,STOCHF_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION","mean-reversion,confirm,trend","M5,M15","wild_diversity,under_tested_role_correct"
first,KST_CROSSOVER,trigger,confirm,Signals,172,24,5,74.7726,62.0817,"ULTOSC_MEAN_REVERSION,RSI_MEAN_REVERSION,WILLR_MEAN_REVERSION,MOM_MEAN_REVERSION,CMO_MEAN_REVERSION,KELTNER_CHANNEL_MEAN_REVERSION,AROON_MEAN_REVERSION,WAVETREND_CROSSOVER","mean-reversion,confirm,unknown,filter,trend","M15,M5","wild_diversity,proven_neighbor,under_tested_role_correct"
first,ULTOSC_MEAN_REVERSION,setup,mean-reversion,Momentum,172,22,3,74.7726,61.0435,"KST_CROSSOVER,TOBY_CRABEL_NARROW_RANGE,MARKET_MODE_TRANSITION,ROOFING_FILTER_CONFIRM,TRENDFLEX_CONFIRM,WEIS_WAVE_FORCE_TREND,ROLLING_VOLUME_PROFILE_CONTEXT,PRICE_RECLAIM_MA","confirm,trend,filter,unknown,mean-reversion","M15,M5","plausible_novel,wild_diversity,proven_neighbor"
first,MA_SPREAD_MEAN_REVERSION,context,mean-reversion,Trend,172,18,2,74.6809,61.911,"PMO_CROSSOVER,BBANDS_POSITION_TREND,MARKET_MODE_TRANSITION,MACD_CROSSOVER,AROON_TREND,WEIS_WAVE_FORCE_TREND,ULTOSC_TREND,CCI_TREND","trend,confirm,breakout,unknown,filter","M15,M5","plausible_novel,wild_diversity,proven_neighbor"
first,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,Volatility,166,16,3,74.5233,62.6252,"EHLERS_FISHER_TRANSITION,ROOFING_FILTER_CONFIRM,STOCHRSI_CROSSBACK,MFI_TREND,CANDLE_DIRECTION_INDEX,TOBY_CRABEL_NARROW_RANGE,SAR_TREND,EHLERS_FISHER_STATE_FILTER","confirm,trend,mean-reversion,filter","M15,M5",proven_neighbor
first,EHLERS_FISHER_TRANSITION,trigger,confirm,Signals,172,9,2,74.5233,64.8855,"BBANDS_POSITION_MEAN_REVERSION,CCI_MEAN_REVERSION,RSI_MEAN_REVERSION,STOCHF_MEAN_REVERSION,MA_CROSSOVER,STOCH_TREND,PLUS_DI_MEAN_REVERSION,CANDLE_DIRECTION_INDEX","mean-reversion,unknown,trend,confirm","M15,M5","wild_diversity,proven_neighbor,under_tested_role_correct"
first,PRICE_RECLAIM_MA,trigger,confirm,Signals,172,10,1,74.4479,57.5643,"TTF_DSL_TRANSITION,ULTOSC_MEAN_REVERSION,MINUS_DI_TREND,RSI_CROSSBACK,RSI_TREND,TRENDFLEX_CONFIRM,MFI_TREND,AROON_TREND","confirm,trend,mean-reversion,breakout","M15,M5","wild_diversity,proven_neighbor,under_tested_role_correct"
