family_id,dealt_pair_probe_id,template_branch_source_probe_id,dealt_recipe,dealt_pair_source,count,promoted,tombstoned,promotion_rate,exact_selected,mutated_selected,exact_rescues,exact_outscored_mutated,comparable_template_runs,mutated_wins_over_exact,exact_rescue_rate,exact_selected_rate,mutated_win_rate,avg_mutation_delta,avg_score,avg_positive_score,best_score,best_seed,family_classification,family_policy,exact_branch_required,recommended_max_indicators,role_balanced_fill_limit,mutation_pressure,sampling_weight_multiplier,family_cap_share,source_batches
drs-0003-r006-willr-mean-reversi-rsi-crossback-m5,drs-0003-r006-willr-mean-reversi-rsi-crossback-m5,drs-0003-r006-willr-mean-reversi-rsi-crossback-m5,discovered_recipe_006,discovery_recipe_validation,18,18,0,1.0,12,6,6,3,12,5,0.3333,0.6667,0.4167,-22.285,67.1167,67.1167,75.3234,76,template_guarded,template_guarded,True,4,1,normal,1.05,0.15,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
drs-0002-r006-rsi-crossback-willr-mean-reversi-m5,drs-0002-r006-rsi-crossback-willr-mean-reversi-m5,drs-0002-r006-rsi-crossback-willr-mean-reversi-m5,discovered_recipe_006,discovery_recipe_validation,18,18,0,1.0,15,3,10,3,15,2,0.5556,0.8333,0.1333,-44.3961,66.5864,66.5864,73.2977,114,template_locked,template_locked,True,2,0,low,1.15,0.15,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
drs-0008-r003-mfi-trend-obv-mean-reversion-m15,drs-0008-r003-mfi-trend-obv-mean-reversion-m15,drs-0008-r003-mfi-trend-obv-mean-reversion-m15,discovered_recipe_003,discovery_recipe_validation,13,13,0,1.0,5,8,2,2,7,3,0.1538,0.3846,0.4286,-18.328,65.7305,65.7305,74.447,3,template_guarded,template_guarded,True,4,1,normal,1.05,0.15,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
drs-0001-r003-bbands-position-tr-ma-spread-mean-rev-m5,drs-0001-r003-bbands-position-tr-ma-spread-mean-rev-m5,drs-0001-r003-bbands-position-tr-ma-spread-mean-rev-m5,discovered_recipe_003,discovery_recipe_validation,10,10,0,1.0,8,2,6,2,6,2,0.6,0.8,0.3333,-26.2874,69.6823,69.6823,79.8725,136,template_locked,template_locked,True,2,0,low,1.15,0.15,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
l3-035-rsi-mean-reversion-toby-crabel-narrow-range-m5,l3-035-rsi-mean-reversion-toby-crabel-narrow-range-m5,l3-035-rsi-mean-reversion-toby-crabel-narrow-range-m5,mean_reversion_reclaim,anchor_pair_atlas,9,7,2,0.7778,0,9,0,0,0,0,0.0,0.0,,,46.4755,59.7542,70.3513,30,unstable,unstable,True,3,1,low,0.85,0.12,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
drs-0004-r001-thrust-bar-signal-channel-reentry-m5,drs-0004-r001-thrust-bar-signal-channel-reentry-m5,drs-0004-r001-thrust-bar-signal-channel-reentry-m5,discovered_recipe_001,discovery_recipe_validation,4,4,0,1.0,4,0,1,1,1,0,0.25,1.0,0.0,-2.2208,54.2114,54.2114,54.3919,10,template_guarded,template_guarded,True,4,1,normal,1.05,0.15,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
l3-025-toby-crabel-narrow-range-key-reversal-signal-m15,l3-025-toby-crabel-narrow-range-key-reversal-signal-m15,l3-025-toby-crabel-narrow-range-key-reversal-signal-m15,breakout_compression_release,anchor_pair_atlas,3,3,0,1.0,0,3,0,0,0,0,0.0,0.0,,,71.1809,71.1809,73.6126,23,unstable,unstable,True,3,1,low,0.85,0.12,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
drs-0005-r002-channel-reentry-thrust-bar-signal-m5,drs-0005-r002-channel-reentry-thrust-bar-signal-m5,drs-0005-r002-channel-reentry-thrust-bar-signal-m5,discovered_recipe_002,discovery_recipe_validation,3,3,0,1.0,1,2,1,0,2,1,0.3333,0.3333,0.5,-26.3822,57.5303,57.5303,64.186,45,unstable,unstable,True,3,1,low,0.85,0.12,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
l3-042-bbands-position-mean-reversion-rsi-crossback-m15,l3-042-bbands-position-mean-reversion-rsi-crossback-m15,l3-042-bbands-position-mean-reversion-rsi-crossback-m15,mean_reversion_reclaim,anchor_pair_atlas,3,2,1,0.6667,0,3,0,0,0,0,0.0,0.0,,,45.0738,67.6107,75.1727,36,unstable,unstable,True,3,0,low,0.65,0.08,playhand-prior-test-clean-50
l3-024-kalman-velocity-confirm-pmo-crossover-m15,l3-024-kalman-velocity-confirm-pmo-crossover-m15,l3-024-kalman-velocity-confirm-pmo-crossover-m15,trend_pullback_continuation,anchor_pair_atlas,3,1,2,0.3333,0,3,0,0,0,0,0.0,0.0,,,23.7715,71.3145,71.3145,50,unstable,unstable,True,3,0,low,0.65,0.08,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
