indicator_id,status,best_horizon_bars,forward_response_prior_score,aggregate_forward_response_score,forward_response_prior_bucket,response_bucket,sample_count,win_rate_pct,mean_forward_return_pct,median_forward_return_pct,mfe_gt_mae_rate_pct,mean_mfe_minus_mae_pct,mean_volatility_normalized_return,best_cell_score,best_cell_context,best_cell_response_bucket,best_cell_sample_count,best_cell_win_rate_pct,best_cell_mean_forward_return_pct,strong_cell_count
CHANNEL_REENTRY,ok,6,75.0,56.97,context_dependent_forward_response,directional_tailwind,2996,52.9372,0.005044,0.005163,52.4366,0.00125,0.095756,83.56,USDJPY M5 long 1,directional_tailwind,124,62.9032,0.007954,8
MA_CROSSOVER,ok,1,69.95,57.69,context_dependent_forward_response,directional_tailwind,1857,53.3656,0.002799,0.00171,53.1502,-1.4e-05,0.048039,77.72,USDJPY M15 long 24,directional_tailwind,128,66.4062,0.02098,7
PMO_CROSSOVER,ok,24,69.81,48.41,context_dependent_forward_response,neutral_mixed,2379,49.5166,0.003898,-0.000629,48.9702,-9.8e-05,-0.00302,77.57,EURUSD M5 short 24,directional_tailwind,143,61.5385,0.016106,3
TOBY_CRABEL_NARROW_RANGE,ok,24,66.16,49.64,context_dependent_forward_response,neutral_mixed,2332,49.7856,0.0,-0.0,49.9142,0.0,0.0,73.51,USDJPY M5 long 24,directional_tailwind,155,62.5806,0.004945,2
MACD_CROSSOVER,ok,3,65.26,49.92,context_dependent_forward_response,neutral_mixed,3127,49.5363,0.002551,0.0,50.2718,0.005576,0.028308,72.51,EURUSD M5 short 24,directional_tailwind,192,58.8542,0.01584,1
MARKET_MODE_TRANSITION,ok,24,65.16,50.01,context_dependent_forward_response,neutral_mixed,1476,49.5935,0.009072,-0.000745,50.4065,0.009151,0.01684,72.4,USDJPY M15 long 6,directional_tailwind,104,62.5,0.017939,3
WICK_REJECTION,ok,12,64.71,49.59,context_dependent_forward_response,neutral_mixed,7308,49.7674,-0.0048,-0.0,49.9863,-0.005755,-0.009337,71.9,USDJPY M5 long 12,directional_tailwind,531,62.1469,0.001204,1
TTF_DSL_TRANSITION,ok,12,63.6,50.32,context_dependent_forward_response,neutral_mixed,2104,50.5703,0.008496,0.001376,49.192,0.015132,0.030806,70.67,USDJPY M15 long 24,directional_tailwind,140,63.5714,0.024613,1
WAVETREND_CROSSOVER,ok,6,56.71,56.71,neutral_forward_response,neutral_mixed,796,52.2613,0.009951,0.003546,53.392,0.009169,0.071943,62.99,XAUUSD M15 short 12,directional_tailwind,49,67.3469,0.112451,0
RSI_CROSSBACK,ok,3,53.46,53.46,neutral_forward_response,neutral_mixed,1096,50.8212,-0.002365,0.001259,52.281,-0.005423,0.033592,66.26,EURUSD M5 short 3,directional_tailwind,60,61.6667,0.00661,0
NVO_VOLUME_IMPULSE,ok,24,53.45,53.45,neutral_forward_response,neutral_mixed,1377,51.3435,0.022931,0.005934,50.9804,0.026537,0.081734,66.39,GBPUSD M5 long 1,directional_tailwind,95,55.7895,0.007302,0
STOCHRSI_CROSSBACK,ok,6,50.83,50.83,neutral_forward_response,neutral_mixed,11117,50.3373,0.000681,0.000855,50.1754,-7.9e-05,0.023036,65.45,USDJPY M5 long 24,directional_tailwind,668,59.7305,0.004967,0
EHLERS_FISHER_TRANSITION,ok,6,50.33,50.33,neutral_forward_response,neutral_mixed,8036,50.0996,0.00301,0.000627,50.0498,0.004016,0.015132,62.95,USDJPY M15 long 6,directional_tailwind,505,58.0198,0.005861,0
KST_CROSSOVER,ok,24,50.25,50.25,neutral_forward_response,neutral_mixed,2180,50.8716,0.00347,0.003602,48.945,-0.0078,0.006523,69.01,GBPUSD M5 short 3,directional_tailwind,136,60.2941,0.005715,0
STOCH_CROSSOVER,ok,12,49.2,49.2,neutral_forward_response,neutral_mixed,10513,49.415,-0.000176,-0.00085,49.9572,-0.000499,-0.000438,63.61,USDJPY M5 long 24,neutral_mixed,645,58.7597,-0.006916,0
KEY_REVERSAL_SIGNAL,ok,24,48.63,48.63,neutral_forward_response,neutral_mixed,3051,49.4592,-0.006242,-0.000756,49.492,-0.001009,-0.021228,63.46,XAUUSD M15 short 12,directional_tailwind,180,53.3333,0.051723,0
PRICE_RECLAIM_MA,ok,24,48.56,48.56,neutral_forward_response,neutral_mixed,5280,49.2614,0.000987,-0.002524,49.4697,0.001524,-0.000722,64.77,GBPUSD M15 short 24,directional_tailwind,325,55.3846,0.011746,0
BUFFERED_RANGE_BREAKOUT_SIGNAL,ok,24,47.98,47.98,neutral_forward_response,neutral_mixed,3039,48.9635,0.003513,-0.003169,49.0622,0.000838,0.017504,66.5,XAUUSD M15 short 6,directional_tailwind,192,55.7292,0.064075,0
CANDLE_DIRECTION_INDEX,ok,24,47.66,47.66,neutral_forward_response,neutral_mixed,1713,49.2119,0.008563,-0.001712,48.1027,0.010362,0.038963,61.51,GBPUSD M5 long 24,directional_tailwind,161,55.2795,0.011826,0
THRUST_BAR_SIGNAL,ok,24,45.89,45.89,neutral_forward_response,neutral_mixed,455,47.4725,0.049847,-0.005925,48.1319,0.064303,0.086091,59.5,EURUSD M15 long 3,directional_tailwind,38,63.1579,0.006939,0
