id,name,namespace,talib_function,base_indicator_id,strategy_role,signal_role,signal_persistence,preferred_timeframe_role,known_implementation_class,generation_eligible,expected_scaffoldable,verified_scaffoldable,talib_parameter_count,sweepable_parameter_count,sweepable_parameters,parameter_cardinality_known,theoretical_parameter_cardinality,static_prior_score,static_prior_bucket
ADOSC_MEAN_REVERSION,ADOSC,Volume,ADOSC,ADOSC,mean-reversion,context,state,higher-context,ADOSCIndicator,True,True,,2,2,"fastperiod,slowperiod",True,4704,69.0,context_dependent
ADOSC_TREND,ADOSC,Volume,ADOSC,ADOSC,trend,context,state,higher-context,ADOSCIndicator,True,True,,2,2,"fastperiod,slowperiod",True,4704,69.0,context_dependent
ADX,ADX (Average Directional Index),Trend,ADX,,,filter,state,higher-context,ADXIndicator,True,True,,1,1,timeperiod,True,36,75.0,context_dependent
AROON_MEAN_REVERSION,AROON,Momentum,AROONOSC,AROON,mean-reversion,context,state,higher-context,AroonIndicator,True,True,,1,1,timeperiod,True,46,77.0,context_dependent
AROON_TREND,AROON,Momentum,AROONOSC,AROON,trend,context,state,higher-context,AroonIndicator,True,True,,1,1,timeperiod,True,46,77.0,context_dependent
ATR_STEP_TREND_FILTER,ATR Step Trend Filter,Trend,ATR_STEP_TREND,ATR_STEP_TREND,filter,filter,state,higher-context,ATRStepTrendFilterIndicator,True,True,,4,4,"ma_period,matype,atr_period,step_percent",True,6060000,55.0,context_dependent
ATR_VOLATILITY_FILTER,ATR Volatility Filter,Volatility,ATR,ATR,filter,filter,state,higher-context,ATRIndicator,True,True,,1,1,timeperiod,True,46,75.0,context_dependent
BBANDS_POSITION_MEAN_REVERSION,BB Pos,Volatility,BBANDS,BBANDS_POSITION,mean-reversion,setup,state,mid-setup,BBandsPositionIndicator,True,True,,4,4,"timeperiod,nbdevup,nbdevdn,matype",True,536544,69.0,high_static_prior
BBANDS_POSITION_TREND,BB Pos,Volatility,BBANDS,BBANDS_POSITION,trend,setup,state,mid-setup,BBandsPositionIndicator,True,True,,4,4,"timeperiod,nbdevup,nbdevdn,matype",True,536544,69.0,high_static_prior
BOLLINGER_KELTNER_SQUEEZE_FILTER,Bollinger/Keltner Squeeze Filter,Volatility,BOLLINGER_KELTNER_SQUEEZE,BOLLINGER_KELTNER_SQUEEZE,filter,filter,state,higher-context,BollingerKeltnerSqueezeFilterIndicator,True,True,,4,4,"timeperiod,bb_multiplier,kc_multiplier,matype",True,248832,63.0,context_dependent
BOLLINGER_KELTNER_SQUEEZE_RELEASE,Bollinger/Keltner Squeeze Release,Signals,BOLLINGER_KELTNER_SQUEEZE,BOLLINGER_KELTNER_SQUEEZE,breakout,trigger,event-with-lookback,entry,BollingerKeltnerSqueezeReleaseIndicator,True,True,,4,4,"timeperiod,bb_multiplier,kc_multiplier,matype",True,248832,75.0,high_static_prior
BREAKOUT_FIRST_CLOSE,Breakout First Close,Signals,BREAKOUT_FIRST_CLOSE,CHANNEL,breakout,trigger,event-with-lookback,entry,BreakoutFirstCloseIndicator,True,True,,6,6,"channel_type,timeperiod,matype,nbdevup,nbdevdn,price_type",True,23514624,67.0,low_prior_broad_space
BUFFERED_RANGE_BREAKOUT_SIGNAL,Buffered Range Breakout,Signals,BUFFERED_RANGE_BREAKOUT,BUFFERED_RANGE_BREAKOUT,breakout,trigger,event-with-lookback,entry,BufferedRangeBreakoutIndicator,True,True,,2,2,"period,risk_percent",True,7938,81.0,high_static_prior
CANDLESTICK_PATTERNS,Patterns (Candlestick Pattern Scanner),Patterns,CDL*,,,trigger,event,entry,CandlestickPatternScannerIndicator,True,True,,2,2,"patterns,aggregation",True,122,81.0,context_dependent
CANDLE_DIRECTION_INDEX,Candle Direction Index,Signals,CANDLE_DIRECTION_INDEX,CANDLE_DIRECTION_INDEX,confirm,trigger,state,entry,CandleDirectionIndexIndicator,True,True,,2,2,"stats_period,add_exp_norm",True,234,83.0,high_static_prior
CCI_MEAN_REVERSION,CCI,Momentum,CCI,CCI,mean-reversion,setup,state,mid-setup,CCIIndicator,True,True,,1,1,timeperiod,True,46,81.0,high_static_prior
CCI_TREND,CCI,Momentum,CCI,CCI,trend,setup,state,mid-setup,CCIIndicator,True,True,,1,1,timeperiod,True,46,81.0,high_static_prior
CHAIKIN_AD_MEAN_REVERSION,AD,Volume,AD,CHAIKIN_AD,mean-reversion,context,state,higher-context,ChaikinADIndicator,True,True,,0,0,,True,1,75.0,context_dependent
CHAIKIN_AD_TREND,AD,Volume,AD,CHAIKIN_AD,trend,context,state,higher-context,ChaikinADIndicator,True,True,,0,0,,True,1,75.0,context_dependent
CHANNEL_REENTRY,Channel Re-entry,Signals,CHANNEL_REENTRY,CHANNEL,mean-reversion,trigger,event-with-lookback,entry,ChannelReentryIndicator,True,True,,6,6,"channel_type,timeperiod,matype,nbdevup,nbdevdn,price_type",True,23514624,67.0,low_prior_broad_space
CMO_MEAN_REVERSION,CMO,Momentum,CMO,CMO,mean-reversion,setup,state,mid-setup,CMOIndicator,True,True,,1,1,timeperiod,True,49,81.0,high_static_prior
CMO_TREND,CMO,Momentum,CMO,CMO,trend,setup,state,mid-setup,CMOIndicator,True,True,,1,1,timeperiod,True,49,81.0,high_static_prior
DONCHIAN_CHANNEL_BREAKOUT,Donchian Channel,Channels,DONCHIAN,DONCHIAN_CHANNEL,breakout,setup,state,mid-setup,DonchianChannelIndicator,True,True,,1,1,timeperiod,True,96,81.0,high_static_prior
EHLERS_FISHER_STATE_FILTER,Ehlers Fisher State Filter,Momentum,EHLERS_FISHER,EHLERS_FISHER,filter,setup,state,entry,EhlersFisherStateFilterIndicator,True,True,,3,3,"timeperiod,price_type,use_high_low_bounds",True,928,81.0,context_dependent
EHLERS_FISHER_TRANSITION,Ehlers Fisher Transition,Signals,EHLERS_FISHER,EHLERS_FISHER,confirm,trigger,event-with-lookback,entry,EhlersFisherTransitionIndicator,True,True,,3,3,"timeperiod,price_type,use_high_low_bounds",True,928,87.0,high_static_prior
GARCH_VOLATILITY_REGIME,GARCH Volatility Regime,Volatility,GARCH,GARCH,filter,filter,state,higher-context,GARCHVolatilityRegimeIndicator,True,True,,5,5,"gamma,alpha,beta,window,threshold_scale",True,4601975079000,55.0,context_dependent
KALMAN_VELOCITY_CONFIRM,Kalman Velocity Confirmation,Trend,KALMAN_FILTER,KALMAN_FILTER,confirm,setup,state,mid-setup,KalmanVelocityIndicator,True,True,,2,2,"period,normalize_period",True,11400,75.0,high_static_prior
KELTNER_CHANNEL_BREAKOUT,Keltner Channel,Channels,KELTNER,KELTNER_CHANNEL,breakout,setup,state,mid-setup,KeltnerChannelIndicator,True,True,,3,3,"timeperiod,matype,price_type",True,6048,75.0,high_static_prior
KELTNER_CHANNEL_MEAN_REVERSION,Keltner Channel,Channels,KELTNER,KELTNER_CHANNEL,mean-reversion,setup,state,mid-setup,KeltnerChannelIndicator,True,True,,3,3,"timeperiod,matype,price_type",True,6048,75.0,high_static_prior
KEY_REVERSAL_SIGNAL,Key Reversal Signal,Signals,KEY_REVERSAL,KEY_REVERSAL,confirm,trigger,event-with-lookback,entry,KeyReversalIndicator,True,True,,2,2,"period,use_filter",True,20,87.0,high_static_prior
KST_CROSSOVER,KST Cross (Know Sure Thing),Signals,KST,KST,confirm,trigger,event-with-lookback,entry,KSTCrossoverIndicator,True,True,,9,9,"roc1,roc2,roc3,roc4,sma1,sma2,sma3,sma4,signalperiod",True,3412919660610096,67.0,low_prior_broad_space
MACD_CROSSOVER,MACD Cross (MACD Crossover),Signals,MACD,,,trigger,event-with-lookback,entry,MACDCrossoverIndicator,True,True,,3,3,"fastperiod,slowperiod,signalperiod",True,17056,81.0,high_static_prior
MACD_HISTOGRAM_PIPS_MEAN_REVERSION,MACD Histogram (Pips),Momentum,MACD,MACD_HISTOGRAM,mean-reversion,setup,state,mid-setup,MACDHistogramIndicator,True,True,,3,3,"fastperiod,slowperiod,signalperiod",True,17056,75.0,high_static_prior
MACD_HISTOGRAM_PIPS_TREND,MACD Histogram (Pips),Momentum,MACD,MACD_HISTOGRAM,trend,setup,state,mid-setup,MACDHistogramIndicator,True,True,,3,3,"fastperiod,slowperiod,signalperiod",True,17056,75.0,high_static_prior
