anchor_type,anchor_id,anchor_signal_role,anchor_strategy_role,trigger_id,trigger_strategy_role,compatibility_prior_score,compatibility_label,shared_base_indicator
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,EHLERS_FISHER_TRANSITION,confirm,95.3,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,KEY_REVERSAL_SIGNAL,confirm,95.3,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,CANDLE_DIRECTION_INDEX,confirm,94.1,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,THRUST_BAR_SIGNAL,confirm,93.5,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,PMO_CROSSOVER,confirm,91.7,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,PRICE_RECLAIM_MA,confirm,91.7,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,BUFFERED_RANGE_BREAKOUT_SIGNAL,breakout,89.5,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,KST_CROSSOVER,confirm,89.3,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,MARKET_MODE_TRANSITION,confirm,89.3,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,TTF_DSL_TRANSITION,confirm,89.3,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,WAVETREND_CROSSOVER,confirm,89.3,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,NVO_VOLUME_IMPULSE,confirm,88.7,high,False
compression,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,BOLLINGER_KELTNER_SQUEEZE_RELEASE,breakout,87.7,high,False
compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,EHLERS_FISHER_TRANSITION,confirm,87.7,high,False
compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,KEY_REVERSAL_SIGNAL,confirm,87.7,high,False
compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,CANDLE_DIRECTION_INDEX,confirm,86.5,high,False
compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,BUFFERED_RANGE_BREAKOUT_SIGNAL,breakout,85.9,high,False
compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,THRUST_BAR_SIGNAL,confirm,85.9,high,False
compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,TOBY_CRABEL_NARROW_RANGE,confirm,85.9,high,False
