source,recipe,first_indicator_id,second_indicator_id,ordered_pair_id,unordered_pair_id,probe_timeframe,probe_id,lookback_months,retention_bucket,validation_score,retention_ratio,discovery_evidence_score,discovery_evidence_probe_id,signal_count,best_expectancy_r,best_trades,best_profit_factor,negative_reason,negative_scope,negative_weight
discovery_recipe_validation,discovered_recipe_002,RSI_CROSSBACK,TOBY_CRABEL_NARROW_RANGE,RSI_CROSSBACK->TOBY_CRABEL_NARROW_RANGE,RSI_CROSSBACK+TOBY_CRABEL_NARROW_RANGE,M5,drv-0002-r002-rsi-crossback-toby-crabel-narrow-m5,12,failed_retention,0.0,0.0,78.3601,dp-0152-rsi-crossback-toby-crabel-narrow-m5,211.0,0.0878,211,1.1136,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_001,TOBY_CRABEL_NARROW_RANGE,RSI_CROSSBACK,TOBY_CRABEL_NARROW_RANGE->RSI_CROSSBACK,RSI_CROSSBACK+TOBY_CRABEL_NARROW_RANGE,M5,drv-0001-r001-toby-crabel-narrow-rsi-crossback-m5,12,failed_retention,0.0,0.0,78.3601,dp-0252-toby-crabel-narrow-rsi-crossback-m5,211.0,0.0878,211,1.1136,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_002,CHANNEL_REENTRY,MACD_CROSSOVER,CHANNEL_REENTRY->MACD_CROSSOVER,CHANNEL_REENTRY+MACD_CROSSOVER,M5,drs-0011-r002-channel-reentry-macd-crossover-m5,36,failed_retention,0.0,0.0,76.8543,dp-8949-channel-reentry-macd-crossover-m5,623.0,-0.0382,622,0.9511,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_001,MACD_CROSSOVER,CHANNEL_REENTRY,MACD_CROSSOVER->CHANNEL_REENTRY,CHANNEL_REENTRY+MACD_CROSSOVER,M5,drs-0010-r001-macd-crossover-channel-reentry-m5,36,failed_retention,0.0,0.0,76.8543,dp-8943-macd-crossover-channel-reentry-m5,623.0,-0.0382,622,0.9511,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_008,VQI_DIRECTIONAL_QUALITY,WILLR_MEAN_REVERSION,VQI_DIRECTIONAL_QUALITY->WILLR_MEAN_REVERSION,VQI_DIRECTIONAL_QUALITY+WILLR_MEAN_REVERSION,M5,drs-0013-r008-vqi-directional-qu-willr-mean-reversi-m5,36,failed_retention,0.0,0.0,76.5771,dp-8011-vqi-directional-qu-willr-mean-reversi-m5,416.0,-0.0808,415,0.7701,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_002,WILLR_MEAN_REVERSION,VQI_DIRECTIONAL_QUALITY,WILLR_MEAN_REVERSION->VQI_DIRECTIONAL_QUALITY,VQI_DIRECTIONAL_QUALITY+WILLR_MEAN_REVERSION,M5,drs-0012-r002-willr-mean-reversi-vqi-directional-qu-m5,36,failed_retention,0.0,0.0,76.5771,dp-13418-willr-mean-reversi-vqi-directional-qu-m5,416.0,-0.0808,415,0.7701,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_003,BOLLINGER_KELTNER_SQUEEZE_RELEASE,OBV_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_RELEASE->OBV_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_RELEASE+OBV_MEAN_REVERSION,M5,drv-0011-r003-bollinger-keltner-obv-mean-reversion-m5,12,failed_retention,0.0,0.0,76.2815,dp-9980-bollinger-keltner-obv-mean-reversion-m5,300.0,0.0322,299,1.0763,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_005,OBV_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_RELEASE,OBV_MEAN_REVERSION->BOLLINGER_KELTNER_SQUEEZE_RELEASE,BOLLINGER_KELTNER_SQUEEZE_RELEASE+OBV_MEAN_REVERSION,M5,drv-0014-r005-obv-mean-reversion-bollinger-keltner-m5,12,failed_retention,0.0,0.0,76.2815,dp-3083-obv-mean-reversion-bollinger-keltner-m5,300.0,0.0322,299,1.0763,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_001,MARKET_MODE_TRANSITION,MA_SPREAD_MEAN_REVERSION,MARKET_MODE_TRANSITION->MA_SPREAD_MEAN_REVERSION,MARKET_MODE_TRANSITION+MA_SPREAD_MEAN_REVERSION,M15,drv-0019-r001-market-mode-transi-ma-spread-mean-rev-m15,12,failed_retention,0.0,0.0,75.5434,dp-9670-market-mode-transi-ma-spread-mean-rev-m15,285.0,0.0483,282,1.2535,positive_discovery_collapsed,hard_unordered,1.5
discovery_recipe_validation,discovered_recipe_002,CHANNEL_REENTRY,TOBY_CRABEL_NARROW_RANGE,CHANNEL_REENTRY->TOBY_CRABEL_NARROW_RANGE,CHANNEL_REENTRY+TOBY_CRABEL_NARROW_RANGE,M5,drv-0004-r002-channel-reentry-toby-crabel-narrow-m5,12,failed_retention,0.0,0.0,75.3942,dp-0106-channel-reentry-toby-crabel-narrow-m5,269.0,-0.0121,269,1.0163,positive_discovery_collapsed,hard_unordered,1.5
