source,recipe,anchor_type,anchor_id,trigger_id,probe_timeframe,probe_id,pair_prior_score,composite_score,signal_count,best_expectancy_r,best_trades,best_profit_factor,timing_policy,timing_adjustment,recommended_trigger_lookback_bars,pair_sampling_score,pair_sampling_lane,pair_sampling_weight,recipe_confidence,retention_bucket,validation_score,retention_ratio,discovery_evidence_score,recommended_profile_template_path,recommended_template_timeframe,recommended_template_indicator_count
discovery_recipe_validation,discovered_recipe_003,discovered_recipe_validation,BBANDS_POSITION_TREND,MA_SPREAD_MEAN_REVERSION,M5,drv-0022-r003-bbands-position-tr-ma-spread-mean-rev-m5,69.3019,77.6931,62.0,0.7188,62,2.2261,catalog_default,0.0,,80.756,positive_pair,88.0407,high_candidate,retained_strong,77.6931,1.0728,72.419,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0022-r003-bbands-position-tr-ma-spread-mean-rev-m5.json,M5,2
discovery_recipe_validation,discovered_recipe_006,discovered_recipe_validation,RSI_CROSSBACK,WILLR_MEAN_REVERSION,M5,drv-0017-r006-rsi-crossback-willr-mean-reversi-m5,72.3684,74.626,132.0,0.3715,132,1.5094,catalog_default,0.0,,78.784,positive_pair,83.7934,high_candidate,retained_strong,74.626,0.9998,74.6439,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0017-r006-rsi-crossback-willr-mean-reversi-m5.json,M5,2
discovery_recipe_validation,discovered_recipe_006,discovered_recipe_validation,WILLR_MEAN_REVERSION,RSI_CROSSBACK,M5,drv-0018-r006-willr-mean-reversi-rsi-crossback-m5,72.3684,74.626,132.0,0.3715,132,1.5094,catalog_default,0.0,,78.784,positive_pair,83.7934,high_candidate,retained_strong,74.626,0.9998,74.6439,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0018-r006-willr-mean-reversi-rsi-crossback-m5.json,M5,2
discovery_recipe_validation,discovered_recipe_001,discovered_recipe_validation,THRUST_BAR_SIGNAL,CHANNEL_REENTRY,M5,drv-0009-r001-thrust-bar-signal-channel-reentry-m5,77.7401,73.0025,194.0,0.2627,190,1.4019,catalog_default,0.0,,77.9284,positive_pair,81.9833,high_candidate,retained_strong,73.0025,0.9627,75.8283,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0009-r001-thrust-bar-signal-channel-reentry-m5.json,M5,2
discovery_recipe_validation,discovered_recipe_002,discovered_recipe_validation,CHANNEL_REENTRY,THRUST_BAR_SIGNAL,M5,drv-0010-r002-channel-reentry-thrust-bar-signal-m5,75.9309,73.0025,194.0,0.2627,190,1.4019,catalog_default,0.0,,77.8379,positive_pair,81.793,high_candidate,retained_strong,73.0025,0.9627,75.8283,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0010-r002-channel-reentry-thrust-bar-signal-m5.json,M5,2
discovery_recipe_validation,discovered_recipe_003,discovered_recipe_validation,MFI_TREND,OBV_MEAN_REVERSION,M15,drv-0024-r003-mfi-trend-obv-mean-reversion-m15,66.852,70.0376,123.0,0.4039,123,1.5726,catalog_default,0.0,,74.5937,positive_pair,75.117,high_candidate,retained_strong,70.0376,0.9748,71.8478,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0024-r003-mfi-trend-obv-mean-reversion-m15.json,M15,2
discovery_recipe_validation,discovered_recipe_001,discovered_recipe_validation,WAVETREND_CROSSOVER,CHANNEL_REENTRY,M15,drv-0012-r001-wavetrend-crossove-channel-reentry-m15,75.2746,68.7021,138.0,0.2569,138,1.3158,catalog_default,0.0,,70.3769,positive_pair,66.8643,high_candidate,retained,68.7021,0.9134,75.2125,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0012-r001-wavetrend-crossove-channel-reentry-m15.json,M15,2
discovery_recipe_validation,discovered_recipe_002,discovered_recipe_validation,CHANNEL_REENTRY,WAVETREND_CROSSOVER,M15,drv-0013-r002-channel-reentry-wavetrend-crossove-m15,75.2153,68.7021,138.0,0.2569,138,1.3158,catalog_default,0.0,,70.3739,positive_pair,66.8586,high_candidate,retained,68.7021,0.9134,75.2125,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0013-r002-channel-reentry-wavetrend-crossove-m15.json,M15,2
discovery_recipe_validation,discovered_recipe_005,discovered_recipe_validation,OBV_MEAN_REVERSION,PLUS_DI_TREND,M5,drv-0025-r005-obv-mean-reversion-plus-di-trend-m5,66.1617,67.3466,136.0,0.6671,136,2.4382,catalog_default,0.0,,68.4156,positive_pair,63.1894,high_candidate,retained,67.3466,0.9422,71.4766,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0025-r005-obv-mean-reversion-plus-di-trend-m5.json,M5,2
anchor_pair_atlas,mean_reversion_reclaim,mean_reversion,RSI_MEAN_REVERSION,TOBY_CRABEL_NARROW_RANGE,M5,l3-035-rsi-mean-reversion-toby-crabel-narrow-range-m5,80.2,73.3871,53.0,1.0446,53,2.7451,catalog_default,0.0,,67.2747,positive_pair,61.0995,,,,,,,,
discovery_recipe_validation,discovered_recipe_001,discovered_recipe_validation,MACD_CROSSOVER,CHANNEL_REENTRY,M5,drv-0005-r001-macd-crossover-channel-reentry-m5,81.5992,60.7709,217.0,0.1243,216,1.1785,catalog_default,0.0,,64.7038,positive_pair,56.5189,high_candidate,retained,60.7709,0.7907,76.8543,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0005-r001-macd-crossover-channel-reentry-m5.json,M5,2
discovery_recipe_validation,discovered_recipe_002,discovered_recipe_validation,CHANNEL_REENTRY,MACD_CROSSOVER,M5,drv-0006-r002-channel-reentry-macd-crossover-m5,81.54,60.7709,217.0,0.1243,216,1.1785,catalog_default,0.0,,64.7008,positive_pair,56.5136,high_candidate,retained,60.7709,0.7907,76.8543,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0006-r002-channel-reentry-macd-crossover-m5.json,M5,2
discovery_recipe_validation,discovered_recipe_002,discovered_recipe_validation,WILLR_MEAN_REVERSION,VQI_DIRECTIONAL_QUALITY,M5,drv-0015-r002-willr-mean-reversi-vqi-directional-qu-m5,74.4429,61.0305,124.0,0.1516,123,1.249,catalog_default,0.0,,64.5152,positive_pair,56.1898,high_candidate,retained,61.0305,0.797,76.5771,C:\repos\fuzzfolio-autoresearch\runs\derived\discovery-recipe-validation-atlas\profiles\drv-0015-r002-willr-mean-reversi-vqi-directional-qu-m5.json,M5,2
