source,recipe,slot,indicator_id,signal_role,strategy_role,namespace,slot_role_fit,static_slot_score,signal_density_score,signal_density_bucket,forward_response_score,forward_response_bucket,empirical_pair_count,positive_pair_count,best_pair_score,avg_pair_score,best_pair_probe_id,best_pair_timeframe,timing_policy,timing_adjustment,recommended_trigger_lookback_bars,recipe_slot_score,sampling_lane,sampling_weight,retention_bucket,validation_probe_id,validation_score,retention_ratio
curated_recipe_prior,trend_pullback_continuation,context,MA_SLOPE_TREND,context,trend,Trend,matched,100.0,42.0,unknown,42.0,unknown,3,1,60.5492,20.1831,l3-008-ma-slope-trend-pmo-crossover-m5,M5,catalog_default,0.0,,72.2957,high_prior,70.56,,,,
curated_recipe_prior,trend_pullback_continuation,context,KALMAN_VELOCITY_CONFIRM,setup,confirm,Trend,mismatch,71.0,42.0,unknown,42.0,unknown,5,1,67.0715,13.4143,l3-024-kalman-velocity-confirm-pmo-crossover-m15,M15,catalog_default,0.0,,57.2029,medium_prior,26.1774,,,,
curated_recipe_prior,trend_pullback_continuation,context,ADX,filter,,Trend,matched,97.0,42.0,unknown,42.0,unknown,4,0,0.0,0.0,l3-006-adx-pmo-crossover-m5,M5,catalog_default,0.0,,51.66,medium_prior,21.35,,,,
curated_recipe_prior,trend_pullback_continuation,context,WEIS_WAVE_FORCE_TREND,context,trend,Volume,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,SAR_TREND,context,trend,Trend,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,PLUS_DI_TREND,context,trend,Trend,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,OBV_TREND,context,trend,Volume,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,MINUS_DI_TREND,context,trend,Trend,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,MA_SPREAD_TREND,context,trend,Trend,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,CHAIKIN_AD_TREND,context,trend,Volume,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,AROON_TREND,context,trend,Momentum,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,ADOSC_TREND,context,trend,Volume,matched,100.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,80.28,uncertain_prior,15.4677,,,,
curated_recipe_prior,trend_pullback_continuation,context,PLUS_DI_MEAN_REVERSION,context,mean-reversion,Trend,matched,99.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,79.62,uncertain_prior,15.2144,,,,
curated_recipe_prior,trend_pullback_continuation,context,MINUS_DI_MEAN_REVERSION,context,mean-reversion,Trend,matched,99.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,79.62,uncertain_prior,15.2144,,,,
curated_recipe_prior,trend_pullback_continuation,context,AROON_MEAN_REVERSION,context,mean-reversion,Momentum,matched,99.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,79.62,uncertain_prior,15.2144,,,,
curated_recipe_prior,trend_pullback_continuation,context,WEIS_WAVE_FORCE_MEAN_REVERSION,context,mean-reversion,Volume,matched,97.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,78.3,uncertain_prior,14.7141,,,,
curated_recipe_prior,trend_pullback_continuation,context,RANDOM_WALK_INDEX_FILTER,filter,filter,Trend,matched,97.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,78.3,uncertain_prior,14.7141,,,,
curated_recipe_prior,trend_pullback_continuation,context,OBV_MEAN_REVERSION,context,mean-reversion,Volume,matched,97.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,78.3,uncertain_prior,14.7141,,,,
curated_recipe_prior,trend_pullback_continuation,context,CHAIKIN_AD_MEAN_REVERSION,context,mean-reversion,Volume,matched,97.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,78.3,uncertain_prior,14.7141,,,,
curated_recipe_prior,trend_pullback_continuation,context,ATR_VOLATILITY_FILTER,filter,filter,Volatility,matched,97.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,78.3,uncertain_prior,14.7141,,,,
curated_recipe_prior,trend_pullback_continuation,context,SAR_MEAN_REVERSION,context,mean-reversion,Trend,matched,93.0,42.0,unknown,42.0,unknown,0,0,,,,,catalog_default,0.0,,75.66,uncertain_prior,13.7386,,,,
