score,legacy_quality_score,score_delta_vs_legacy,reward_landed,reward_best,stop_landed,trade_count,trades_per_month,max_drawdown_r,max_consecutive_losses,path_win_rate,proof,edge,ride,stability,viability,positive_cell_ratio,bars_per_signal,max_signal_run,trigger_indicator_count,indicator_ids,lookbacks,flags,run_id,candidate_name,artifact_dir,profile_path
86.8414,79.2655,7.5759,12.0,10.5,0.04,69.0,1.9198664440734559,1.3866,15.0,0.3623,0.975006,0.983244,0.582045,0.914969,0.967391,0.9984,3170.5942,3.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_det8_top_20260501T000834257404Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_det8_top_20260501T000834257404Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\det8_top.json
86.8414,79.2655,7.5759,12.0,10.5,0.04,69.0,1.9198664440734559,1.3866,15.0,0.3623,0.975006,0.983244,0.582045,0.914969,0.967391,0.9984,3170.5942,3.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_det9_top_20260501T001002574520Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_det9_top_20260501T001002574520Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\det9_top.json
86.8414,79.2655,7.5759,12.0,10.5,0.04,69.0,1.9198664440734559,1.3866,15.0,0.3623,0.975006,0.983244,0.582045,0.914969,0.967391,0.9984,3170.5942,3.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_det11_top_20260501T001823181085Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_det11_top_20260501T001823181085Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\det11_top.json
86.8414,79.2655,7.5759,12.0,10.5,0.04,69.0,1.9198664440734559,1.3866,15.0,0.3623,0.975006,0.983244,0.582045,0.914969,0.967391,0.9984,3170.5942,3.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_det12_top_20260501T002611443222Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_det12_top_20260501T002611443222Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\det12_top.json
86.8414,79.2655,7.5759,12.0,10.5,0.04,69.0,1.9198664440734559,1.3866,15.0,0.3623,0.975006,0.983244,0.582045,0.914969,0.967391,0.9984,3170.5942,3.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_eurusd_h1_20260501T000654745949Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_eurusd_h1_20260501T000654745949Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\eurusd_h1.json
86.4779,76.3632,10.1147,12.0,12.0,0.04,53.0,1.4746800222593213,1.3589,11.0,0.3019,0.950397,0.971679,0.643438,0.895133,0.909294,0.9808,4128.4151,3.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_usdjpy_check_20260501T002108126609Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_usdjpy_check_20260501T002108126609Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\usdjpy_check.json
85.7947,79.0669,6.7278,9.0,10.0,0.04,80.0,2.2259321090706736,0.868,10.0,0.2375,0.984306,0.880449,0.606667,0.894592,0.988307,0.5456,2734.475,2.0,1.0,ATR_VOLATILITY_FILTER|CHAIKIN_AD_MEAN_REVERSION|OBV_TREND|WICK_REJECTION,1|1|1|1,tiny_stop_le_0_06,20260501T002657136119Z-agentic-5fc358,eval_cand8_gbpusd_20260501T003801381982Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\evals\eval_cand8_gbpusd_20260501T003801381982Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\profiles\cand8_gbpusd.json
85.7947,79.0669,6.7278,9.0,10.0,0.04,80.0,2.2259321090706736,0.868,10.0,0.2375,0.984306,0.880449,0.606667,0.894592,0.988307,0.5456,2734.475,2.0,1.0,ATR_VOLATILITY_FILTER|CHAIKIN_AD_MEAN_REVERSION|OBV_TREND|WICK_REJECTION,1|1|1|1,tiny_stop_le_0_06,20260501T002657136119Z-agentic-5fc358,eval_sw_gbpusd_top_20260501T003942260007Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\evals\eval_sw_gbpusd_top_20260501T003942260007Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\profiles\sw_gbpusd_top.json
85.7947,79.0669,6.7278,9.0,10.0,0.04,80.0,2.2259321090706736,0.868,10.0,0.2375,0.984306,0.880449,0.606667,0.894592,0.988307,0.5456,2734.475,2.0,1.0,ATR_VOLATILITY_FILTER|CHAIKIN_AD_MEAN_REVERSION|OBV_TREND|WICK_REJECTION,1|1|1|1,tiny_stop_le_0_06,20260501T002657136119Z-agentic-5fc358,eval_sw_gbpusd_tf_top_20260501T004136256525Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\evals\eval_sw_gbpusd_tf_top_20260501T004136256525Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\profiles\sw_gbpusd_tf_top.json
83.5863,66.7419,16.8444,3.0,5.0,0.12,31.0,0.862548692264886,1.0547,7.0,0.4194,0.867686,0.920505,0.661338,0.928475,0.83194,0.4224,21172.0,5.0,1.0,ADX|CANDLESTICK_PATTERNS|PLUS_DI_TREND|MA_DISTANCE_MEAN_REVERSION,1|1|1|1,thin_sample_lt_36|low_cadence_lt_2pm,20260430T233710259953Z-agentic-a5d75f,eval_cand10_20260501T000138136363Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T233710259953Z-agentic-a5d75f\evals\eval_cand10_20260501T000138136363Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T233710259953Z-agentic-a5d75f\profiles\cand10.json
